Server,Instance Load
ec2-302-108-2.compute-1.amazonaws.com,16.928085082491453
ec2-347-225-171.compute-1.amazonaws.com,84.0355237517234
ec2-340-188-219.compute-1.amazonaws.com,89.16595328198638
ec2-323-26-163.compute-1.amazonaws.com,53.65922417731698
ec2-310-34-54.compute-1.amazonaws.com,79.02871985983717
ec2-333-147-87.compute-1.amazonaws.com,64.12026011976342
ec2-314-147-158.compute-1.amazonaws.com,10.128856043216754
ec2-344-226-155.compute-1.amazonaws.com,82.69335804944136
ec2-326-111-193.compute-1.amazonaws.com,96.25595017038972
ec2-266-144-238.compute-1.amazonaws.com,19.157162712817442
ec2-307-90-72.compute-1.amazonaws.com,96.1223420723116
ec2-355-87-144.compute-1.amazonaws.com,81.94550459869954
ec2-279-112-119.compute-1.amazonaws.com,30.17885812026553
ec2-302-101-76.compute-1.amazonaws.com,60.77373067608546
ec2-283-195-102.compute-1.amazonaws.com,70.3065969841401
ec2-278-9-214.compute-1.amazonaws.com,80.25077118227797
ec2-331-187-66.compute-1.amazonaws.com,94.7822395021828
ec2-331-229-177.compute-1.amazonaws.com,23.670591535426762
ec2-300-235-143.compute-1.amazonaws.com,67.20449400736145
ec2-288-27-39.compute-1.amazonaws.com,29.567208412750357
